Age,Tenure_Years,Account_Balance_LKR,District,CRIB_Status,Recent_Loan_Rejected,Digital_Banking_User,Churn
48,7,10248.0,Nuwara Eliya,Clean,0,0,0
48,4,178382.0,Polonnaruwa,Clean,0,0,0
45,3,500659.0,Gampaha,Clean,0,0,0
42,2,74253.0,Anuradhapura,Clean,0,0,0
36,1,0.0,Colombo,Defaulted,1,0,0
36,0,155638.0,Galle,Clean,0,1,0
30,5,95422.0,Nuwara Eliya,Clean,0,1,0
18,2,23417.0,Badulla,Clean,0,1,0
36,1,731022.0,Gampaha,Clean,0,1,0
47,2,194535.0,Colombo,Clean,0,1,0
44,17,41370.0,Badulla,Clean,0,0,0
39,2,26315.0,Anuradhapura,Defaulted,1,0,1
51,0,7050.0,Colombo,Clean,1,0,1
18,5,69276.0,Kegalle,Clean,0,0,1
43,4,0.0,Kalutara,Defaulted,0,1,0
40,1,40233.0,Gampaha,Clean,0,0,0
25,0,117848.0,Puttalam,Defaulted,0,1,1
38,1,99878.0,Anuradhapura,Clean,0,0,0
56,7,155033.0,Jaffna,Clean,0,0,0
47,8,117324.0,Colombo,Clean,1,1,0
46,3,67139.0,Galle,Clean,0,0,0
39,7,0.0,Vavuniya,Clean,0,0,1
51,0,8991.0,Puttalam,Clean,0,1,0
47,0,0.0,Gampaha,Clean,1,0,1
46,2,204904.0,Nuwara Eliya,Clean,0,1,0
24,2,42310.0,Puttalam,Clean,0,0,0
24,4,0.0,Gampaha,Clean,0,1,1
41,8,14139.0,Jaffna,Clean,1,1,0
28,9,4910.0,Kandy,Clean,0,1,0
28,4,97071.0,Kilinochchi,Clean,0,0,1
18,0,48789.0,Gampaha,Clean,0,1,1
22,9,9237.0,Galle,Clean,0,0,1
50,6,37624.0,Puttalam,Clean,0,1,0
38,10,30428.0,Trincomalee,Clean,0,0,0
55,3,108684.0,Matale,Clean,0,0,1
31,10,917838.0,Kalutara,Clean,1,0,0
53,0,552283.0,Kurunegala,Clean,0,0,0
48,1,0.0,Colombo,Clean,0,1,0
32,2,1402046.0,Matara,Defaulted,1,1,1
45,5,0.0,Kandy,Clean,1,1,0
39,0,139763.0,Colombo,Clean,1,0,1
36,4,40855.0,Gampaha,Clean,0,1,0
18,1,32162.0,Trincomalee,Clean,0,0,0
18,1,69886.0,Gampaha,Clean,0,1,0
30,14,48840.0,Kalutara,Clean,0,1,0
20,6,103969.0,Hambantota,Clean,0,0,1
34,3,43416.0,Puttalam,Clean,0,0,0
45,0,0.0,Gampaha,Clean,1,1,0
48,0,36981.0,Colombo,Defaulted,1,0,1
24,13,35838.0,Batticaloa,Clean,1,0,0
18,17,103111.0,Anuradhapura,Clean,0,1,0
46,5,0.0,Matara,Clean,0,1,1
45,0,1297.0,Vavuniya,Clean,0,0,0
18,0,190088.0,Colombo,Clean,0,1,0
51,0,57735.0,Galle,Clean,0,0,1
23,1,72920.0,Anuradhapura,Clean,0,0,1
58,12,59781.0,Puttalam,Clean,0,0,1
43,4,94193.0,Ratnapura,Defaulted,1,0,1
28,5,20387.0,Kurunegala,Clean,0,1,0
65,4,0.0,Gampaha,Clean,0,0,1
19,5,0.0,Matara,Clean,0,1,0
34,0,408408.0,Kandy,Clean,0,1,1
57,1,268778.0,Matara,Clean,0,0,0
24,1,0.0,Colombo,Clean,0,1,1
42,2,32441.0,Kandy,Defaulted,1,0,1
23,5,129724.0,Kurunegala,Clean,0,1,0
67,2,41251.0,Moneragala,Clean,0,0,0
35,12,453827.0,Colombo,Clean,0,1,0
40,4,23102.0,Moneragala,Clean,0,0,0
46,0,378026.0,Kurunegala,Clean,0,0,1
50,0,44005.0,Gampaha,Clean,0,1,0
29,0,124896.0,Gampaha,Clean,0,1,0
39,6,87645.0,Gampaha,Clean,0,1,0
29,1,90437.0,Colombo,Clean,0,0,0
31,2,58025.0,Anuradhapura,Clean,0,1,0
26,0,400784.0,Kurunegala,Clean,0,0,0
61,2,0.0,Trincomalee,Clean,0,1,1
50,11,50181.0,Puttalam,Clean,0,0,0
37,18,537614.0,Matara,Defaulted,0,1,0
58,5,76386.0,Kalutara,Clean,0,1,0
40,2,89924.0,Gampaha,Clean,0,0,1
61,5,154987.0,Ratnapura,Defaulted,0,0,0
33,17,70455.0,Gampaha,Clean,0,1,0
28,8,2859222.0,Kandy,Clean,0,0,0
18,0,86262.0,Gampaha,Clean,1,1,1
35,5,78992.0,Ratnapura,Clean,0,1,0
37,2,410017.0,Gampaha,Clean,0,1,0
55,2,0.0,Colombo,Clean,0,0,0
53,7,0.0,Matale,Clean,0,0,0
41,1,1510609.0,Badulla,Clean,0,0,0
19,3,70609.0,Polonnaruwa,Clean,0,1,0
36,7,44873.0,Gampaha,Defaulted,0,1,0
47,1,96375.0,Nuwara Eliya,Clean,0,0,1
49,0,195865.0,Colombo,Clean,0,1,0
38,13,9077.0,Badulla,Clean,0,0,1
18,6,193018.0,Kalutara,Clean,0,1,0
26,1,0.0,Mullaitivu,Defaulted,1,0,1
37,3,17016.0,Nuwara Eliya,Clean,0,0,0
26,7,53841.0,Hambantota,Clean,0,0,1
48,9,151071.0,Moneragala,Defaulted,0,0,1
36,3,639762.0,Gampaha,Clean,1,1,0
33,5,1009646.0,Gampaha,Defaulted,0,1,0
26,1,0.0,Jaffna,Clean,0,1,1
37,15,12322.0,Kandy,Clean,0,0,0
29,10,4803199.0,Gampaha,Clean,1,1,0
45,4,0.0,Anuradhapura,Clean,1,0,0
43,13,88858.0,Kalutara,Clean,0,1,0
38,9,113447.0,Galle,Clean,0,1,0
34,7,184271.0,Colombo,Defaulted,0,1,1
41,3,0.0,Colombo,Clean,0,1,0
33,1,7280.0,Kalutara,Defaulted,1,1,0
36,4,64676.0,Colombo,Clean,0,1,0
45,0,140129.0,Nuwara Eliya,Clean,0,0,1
35,0,308400.0,Kandy,Clean,0,1,0
38,3,16406.0,Kandy,Defaulted,1,1,1
27,1,0.0,Ampara,Clean,0,0,1
42,0,884391.0,Colombo,Clean,1,1,1
57,11,29627.0,Matara,Defaulted,0,1,0
26,2,23799.0,Jaffna,Clean,0,1,0
67,2,41450.0,Batticaloa,Defaulted,0,1,0
42,1,11878.0,Galle,Clean,1,1,0
18,4,125017.0,Kegalle,Clean,0,0,0
44,4,19029.0,Matara,Clean,0,0,0
36,2,42072.0,Nuwara Eliya,Clean,0,0,0
37,8,24885.0,Kalutara,Clean,0,1,0
56,0,13291.0,Colombo,Clean,0,0,1
59,0,0.0,Ampara,Defaulted,1,1,1
37,0,82802.0,Anuradhapura,Clean,1,0,0
44,4,59248.0,Kandy,Clean,0,0,0
18,7,25757.0,Ratnapura,Clean,0,1,0
19,3,171441.0,Vavuniya,Defaulted,1,1,1
25,8,0.0,Batticaloa,Clean,1,1,1
18,9,249262.0,Matara,Defaulted,1,1,1
56,5,21244.0,Anuradhapura,Clean,0,0,0
55,2,154429.0,Anuradhapura,Clean,0,0,1
54,4,720613.0,Badulla,Clean,0,0,0
49,1,1566136.0,Colombo,Clean,0,1,0
35,1,1670770.0,Kurunegala,Clean,0,0,0
20,2,0.0,Kegalle,Clean,0,1,0
18,1,0.0,Colombo,Clean,0,0,1
21,1,393461.0,Colombo,Clean,0,0,0
40,13,12682.0,Colombo,Clean,0,1,0
44,1,38134.0,Gampaha,Clean,0,1,0
46,4,0.0,Kurunegala,Clean,0,0,1
37,1,1363491.0,Galle,Clean,0,1,0
43,1,51558.0,Trincomalee,Defaulted,0,0,0
37,2,127031.0,Gampaha,Defaulted,1,0,1
32,5,6594.0,Matara,Clean,1,0,1
24,0,15331.0,Moneragala,Defaulted,1,0,1
42,3,1473938.0,Trincomalee,Defaulted,0,1,0
33,3,0.0,Kalutara,Clean,0,0,0
18,14,77746.0,Kalutara,Defaulted,1,0,1
25,3,354662.0,Colombo,Clean,0,1,0
20,1,260493.0,Puttalam,Defaulted,1,0,1
18,1,318181.0,Kandy,Clean,0,0,0
18,10,45860.0,Kurunegala,Clean,0,0,0
30,1,57645.0,Gampaha,Clean,0,1,0
51,4,44640.0,Colombo,Clean,1,1,0
21,1,11729.0,Anuradhapura,Clean,0,0,0
29,6,64620.0,Anuradhapura,Clean,0,0,0
57,3,200026.0,Matara,Clean,0,0,0
23,1,40561.0,Colombo,Clean,0,0,1
49,2,127888.0,Nuwara Eliya,Clean,0,1,0
51,0,0.0,Matale,Defaulted,0,0,0
44,0,8907.0,Matale,Defaulted,0,0,1
53,1,0.0,Ampara,Clean,0,0,1
35,2,0.0,Badulla,Defaulted,0,1,0
40,1,26818.0,Gampaha,Defaulted,1,1,0
25,3,61087.0,Matara,Clean,0,1,0
27,0,0.0,Kegalle,Clean,1,0,1
40,7,71407.0,Kurunegala,Clean,0,0,1
46,6,332396.0,Anuradhapura,Clean,0,0,0
30,1,32524.0,Ratnapura,Clean,0,0,0
25,1,0.0,Kandy,Clean,0,0,0
46,1,795448.0,Colombo,Clean,0,1,0
44,2,0.0,Ampara,Defaulted,0,0,1
47,1,67180.0,Kurunegala,Defaulted,1,0,1
66,5,930422.0,Gampaha,Clean,1,1,0
42,4,1878644.0,Colombo,Clean,0,1,0
18,8,74555.0,Anuradhapura,Defaulted,1,1,1
22,4,0.0,Gampaha,Defaulted,0,1,1
37,7,119578.0,Colombo,Clean,0,1,0
23,0,0.0,Colombo,Clean,0,1,1
18,2,190527.0,Gampaha,Clean,0,1,0
39,2,16827.0,Batticaloa,Clean,0,1,0
23,8,92544.0,Moneragala,Clean,0,0,0
70,9,1020906.0,Colombo,Clean,0,1,0
54,1,70081.0,Gampaha,Clean,0,1,0
52,9,106494.0,Anuradhapura,Clean,0,0,0
38,7,0.0,Kandy,Clean,0,0,1
45,1,243425.0,Batticaloa,Clean,0,0,0
37,0,140120.0,Matale,Defaulted,1,1,1
24,0,2636.0,Gampaha,Clean,0,0,0
36,12,271792.0,Batticaloa,Clean,0,0,0
18,3,74928.0,Matara,Clean,1,0,0
31,5,0.0,Kandy,Clean,0,1,0
38,0,0.0,Kalutara,Clean,0,1,0
33,4,50471.0,Kandy,Clean,0,1,0
36,2,0.0,Matara,Clean,0,1,0
49,0,33937.0,Galle,Clean,0,1,0
33,0,0.0,Ratnapura,Clean,0,1,1
27,2,146368.0,Ampara,Defaulted,1,0,1
32,2,55489.0,Anuradhapura,Clean,0,1,0
36,3,84535.0,Gampaha,Clean,0,0,0
36,0,30021.0,Colombo,Clean,0,1,0
29,0,164599.0,Colombo,Clean,0,1,1
48,0,21839.0,Puttalam,Clean,0,0,0
31,1,7847.0,Kalutara,Clean,1,0,1
38,0,51200.0,Kandy,Clean,0,0,0
42,0,49742.0,Nuwara Eliya,Defaulted,1,0,1
43,0,375332.0,Colombo,Clean,0,1,0
18,8,0.0,Jaffna,Clean,0,1,0
43,0,247817.0,Gampaha,Clean,0,0,0
39,1,18899.0,Jaffna,Clean,0,1,0
30,1,0.0,Gampaha,Defaulted,0,0,1
54,23,49466.0,Badulla,Clean,0,0,0
34,1,472796.0,Gampaha,Clean,0,1,0
25,10,290749.0,Kalutara,Clean,0,0,0
42,11,58528.0,Kalutara,Clean,0,0,0
43,1,41655.0,Gampaha,Clean,0,1,1
40,0,276649.0,Jaffna,Defaulted,0,1,1
18,2,31785.0,Kandy,Clean,1,0,0
35,1,0.0,Moneragala,Clean,0,1,0
18,5,30463.0,Kalutara,Clean,1,1,1
40,16,243349.0,Gampaha,Clean,0,0,0
55,0,408498.0,Gampaha,Clean,1,1,0
27,0,134490.0,Jaffna,Clean,0,0,0
51,11,120314.0,Colombo,Clean,0,1,0
35,1,283068.0,Colombo,Clean,0,1,0
58,16,94329.0,Gampaha,Clean,0,1,0
56,2,53977.0,Gampaha,Clean,0,0,0
43,9,57022.0,Colombo,Clean,0,1,0
26,7,105290.0,Colombo,Clean,0,1,0
32,3,468093.0,Mullaitivu,Clean,1,1,1
18,16,0.0,Gampaha,Clean,1,1,1
30,0,119992.0,Kalutara,Clean,0,1,0
18,5,4804872.0,Colombo,Clean,0,1,0
56,0,126521.0,Gampaha,Clean,0,1,0
48,4,0.0,Matara,Clean,1,0,1
44,8,151994.0,Colombo,Clean,0,0,1
31,0,36563.0,Kurunegala,Clean,0,0,1
25,1,0.0,Colombo,Clean,0,1,0
39,1,29184.0,Jaffna,Clean,0,0,1
58,3,35079.0,Vavuniya,Clean,0,0,0
29,2,1175257.0,Nuwara Eliya,Defaulted,0,1,1
32,2,9091.0,Gampaha,Clean,0,1,1
31,0,180946.0,Kandy,Clean,0,0,0
39,1,110723.0,Colombo,Clean,0,1,0
44,1,0.0,Matara,Clean,0,0,0
18,13,45488.0,Anuradhapura,Clean,0,0,0
27,1,645188.0,Colombo,Clean,0,0,0
21,7,0.0,Ampara,Clean,0,0,1
20,10,3325.0,Ratnapura,Clean,1,0,1
35,3,99186.0,Kurunegala,Clean,0,1,1
48,2,48958.0,Colombo,Clean,0,1,0
22,11,416981.0,Colombo,Clean,0,1,0
49,10,63398.0,Gampaha,Clean,0,1,0
37,1,43884.0,Matale,Clean,0,0,1
30,0,78215.0,Anuradhapura,Clean,0,0,1
39,5,23478.0,Kandy,Clean,0,1,1
51,4,0.0,Colombo,Clean,1,1,1
18,4,9024.0,Kurunegala,Clean,1,1,1
25,7,0.0,Matale,Clean,0,1,1
31,0,104173.0,Colombo,Clean,0,1,0
46,1,46991.0,Matara,Clean,0,0,0
18,4,52174.0,Galle,Clean,0,1,0
32,0,5199.0,Kandy,Clean,1,0,1
36,1,0.0,Kalutara,Clean,0,1,0
47,11,0.0,Gampaha,Clean,0,1,0
37,1,14944.0,Gampaha,Clean,0,0,0
36,5,0.0,Nuwara Eliya,Clean,0,0,1
52,2,48526.0,Puttalam,Clean,1,1,1
23,3,735514.0,Colombo,Clean,0,1,0
41,0,113191.0,Kurunegala,Clean,0,0,1
18,1,41144.0,Colombo,Clean,1,0,1
42,2,312948.0,Kandy,Clean,0,0,0
18,1,0.0,Colombo,Clean,1,0,1
18,3,180929.0,Polonnaruwa,Clean,0,0,0
31,0,28628.0,Kurunegala,Defaulted,1,0,1
42,0,85738.0,Polonnaruwa,Clean,0,0,1
46,0,0.0,Gampaha,Clean,0,0,0
29,1,0.0,Colombo,Defaulted,0,1,1
63,8,194506.0,Kalutara,Defaulted,1,1,1
18,1,0.0,Kurunegala,Clean,1,0,1
46,14,111080.0,Polonnaruwa,Clean,0,0,0
33,4,1188900.0,Gampaha,Clean,0,1,0
30,12,511080.0,Vavuniya,Clean,0,0,0
34,2,822621.0,Colombo,Clean,0,1,0
36,5,0.0,Colombo,Clean,0,1,1
50,2,66701.0,Colombo,Clean,0,1,0
27,2,316805.0,Kandy,Clean,0,1,1
27,2,27648.0,Colombo,Clean,1,1,0
30,5,97034.0,Matale,Clean,0,0,0
41,3,10712.0,Matara,Clean,0,0,1
48,7,0.0,Puttalam,Clean,1,0,1
59,4,2496856.0,Colombo,Clean,0,1,0
18,12,176168.0,Hambantota,Defaulted,0,0,0
18,2,34428.0,Colombo,Clean,0,1,0
21,0,9162.0,Colombo,Clean,1,1,1
41,3,493432.0,Nuwara Eliya,Clean,1,1,1
43,8,830999.0,Gampaha,Defaulted,1,1,1
24,1,13619.0,Gampaha,Clean,0,0,1
48,6,295213.0,Gampaha,Clean,1,1,1
33,2,39546.0,Matale,Clean,0,0,0
28,14,12910.0,Colombo,Clean,1,1,1
28,10,1186881.0,Kurunegala,Defaulted,1,1,0
26,0,9887.0,Colombo,Clean,0,0,0
35,3,61151.0,Batticaloa,Clean,0,1,0
39,0,0.0,Colombo,Clean,0,1,0
32,0,23306.0,Nuwara Eliya,Clean,0,1,0
59,1,95039.0,Hambantota,Clean,1,0,0
26,0,0.0,Badulla,Clean,1,1,1
64,1,14690.0,Gampaha,Clean,0,1,1
35,17,51402.0,Gampaha,Clean,0,1,0
63,5,346089.0,Hambantota,Clean,0,0,0
49,1,79057.0,Kegalle,Defaulted,1,0,1
54,12,34917.0,Polonnaruwa,Clean,0,0,0
47,0,0.0,Colombo,Defaulted,1,1,1
18,1,34721.0,Matale,Clean,0,0,1
35,3,16735.0,Kalutara,Clean,1,1,1
31,0,297457.0,Polonnaruwa,Clean,0,1,0
59,3,14096.0,Gampaha,Clean,0,1,0
43,0,242341.0,Kegalle,Clean,0,1,0
45,1,399101.0,Kalutara,Defaulted,1,1,1
18,6,42178.0,Matale,Clean,0,1,0
33,4,72556.0,Matale,Clean,0,0,0
40,2,39586.0,Colombo,Clean,1,1,0
41,7,158197.0,Kalutara,Clean,0,0,0
39,1,3788359.0,Batticaloa,Clean,0,1,1
47,7,541132.0,Trincomalee,Clean,0,0,0
52,1,0.0,Gampaha,Clean,0,1,0
19,5,21949.0,Nuwara Eliya,Clean,0,1,0
21,0,71606.0,Batticaloa,Clean,1,0,1
34,10,62193.0,Kandy,Clean,0,1,0
36,1,76148.0,Colombo,Defaulted,1,1,1
34,0,0.0,Vavuniya,Clean,0,0,1
32,2,111935.0,Gampaha,Defaulted,1,0,1
18,2,13348.0,Kandy,Clean,0,1,0
37,5,98952.0,Matara,Clean,0,1,1
35,2,24521.0,Nuwara Eliya,Clean,0,0,0
31,11,65159.0,Kilinochchi,Clean,0,0,0
25,2,20069.0,Kegalle,Clean,0,0,0
63,21,13654.0,Gampaha,Clean,0,1,0
29,3,3232140.0,Colombo,Clean,0,1,0
28,3,240721.0,Gampaha,Clean,0,0,0
42,1,0.0,Matara,Clean,0,0,1
44,0,1471145.0,Nuwara Eliya,Clean,0,0,0
33,8,0.0,Ratnapura,Clean,0,1,1
54,1,86103.0,Nuwara Eliya,Clean,0,0,1
46,7,12963.0,Colombo,Clean,0,1,0
18,2,1975.0,Gampaha,Clean,0,0,0
50,7,0.0,Ratnapura,Clean,1,0,1
42,5,0.0,Kandy,Clean,0,1,0
55,0,213884.0,Mullaitivu,Defaulted,1,1,1
18,8,4217.0,Matara,Defaulted,1,1,1
44,6,1084345.0,Gampaha,Clean,0,0,0
28,0,199478.0,Batticaloa,Clean,0,1,0
39,4,109539.0,Gampaha,Defaulted,0,0,0
50,9,28028.0,Kurunegala,Clean,0,1,0
36,6,32043.0,Kandy,Clean,0,0,0
38,2,74237.0,Colombo,Clean,0,1,0
49,3,60042.0,Kandy,Clean,0,0,1
50,5,51712.0,Colombo,Clean,0,1,0
40,3,1280839.0,Anuradhapura,Clean,0,1,0
30,3,0.0,Kandy,Clean,1,1,1
47,1,113425.0,Colombo,Clean,0,1,0
41,0,106854.0,Kalutara,Clean,0,1,1
59,5,332562.0,Kalutara,Clean,0,1,0
24,5,26581.0,Hambantota,Clean,0,1,1
18,3,41701.0,Kegalle,Defaulted,1,0,1
49,5,0.0,Kalutara,Clean,1,0,1
41,2,0.0,Jaffna,Clean,0,0,0
41,3,15079.0,Puttalam,Defaulted,0,0,1
45,3,7961.0,Ratnapura,Clean,0,0,0
24,1,29638.0,Colombo,Defaulted,1,1,1
33,5,0.0,Matale,Defaulted,0,1,0
28,0,49002.0,Colombo,Defaulted,1,1,1
46,9,5009.0,Colombo,Clean,0,1,0
23,0,0.0,Trincomalee,Defaulted,1,0,1
36,0,0.0,Ampara,Clean,1,1,1
28,11,218792.0,Kilinochchi,Clean,0,0,0
39,0,269568.0,Galle,Clean,0,1,0
46,0,0.0,Kegalle,Clean,1,0,1
43,8,73451.0,Gampaha,Clean,0,1,0
40,3,315989.0,Kalutara,Clean,0,0,0
26,1,90290.0,Kurunegala,Clean,0,1,1
31,0,18463.0,Gampaha,Clean,0,1,0
35,11,25851.0,Polonnaruwa,Clean,1,0,0
43,8,0.0,Colombo,Clean,0,1,0
32,1,0.0,Nuwara Eliya,Clean,0,1,0
28,2,24583.0,Trincomalee,Clean,0,0,0
54,1,85818.0,Matale,Clean,0,1,0
18,2,493432.0,Gampaha,Clean,0,0,1
28,2,361730.0,Kalutara,Clean,0,1,0
45,4,2018.0,Kalutara,Clean,0,1,0
27,1,27169.0,Colombo,Clean,1,1,1
40,1,109801.0,Colombo,Clean,0,1,0
21,0,0.0,Galle,Clean,0,1,1
47,25,0.0,Batticaloa,Clean,0,0,0
27,0,150864.0,Kandy,Defaulted,1,1,1
36,1,212614.0,Nuwara Eliya,Clean,0,0,0
52,4,7124.0,Ratnapura,Defaulted,1,1,0
58,0,0.0,Gampaha,Clean,0,0,0
29,8,223859.0,Kandy,Clean,0,1,0
40,12,0.0,Kandy,Clean,0,1,0
54,3,713994.0,Jaffna,Clean,0,1,0
44,1,0.0,Batticaloa,Defaulted,0,1,0
60,25,210172.0,Kandy,Clean,0,0,0
47,3,74187.0,Batticaloa,Clean,0,0,0
52,0,31921.0,Puttalam,Defaulted,1,0,1
50,11,0.0,Galle,Clean,1,0,1
27,5,629395.0,Gampaha,Clean,0,0,0
59,1,78258.0,Hambantota,Clean,0,1,0
44,0,0.0,Kandy,Clean,0,0,1
45,0,0.0,Badulla,Clean,0,0,0
18,3,91631.0,Galle,Clean,0,1,0
28,4,163717.0,Kurunegala,Clean,1,0,1
56,6,0.0,Nuwara Eliya,Defaulted,1,1,1
27,8,122623.0,Colombo,Clean,0,1,0
24,0,19495.0,Galle,Clean,0,1,0
31,0,25909.0,Nuwara Eliya,Defaulted,1,0,1
62,5,77973.0,Kalutara,Clean,0,0,0
37,2,1025315.0,Colombo,Clean,0,1,0
68,25,22058.0,Trincomalee,Clean,0,0,0
25,24,0.0,Kegalle,Clean,0,1,0
53,12,547829.0,Badulla,Clean,0,0,0
58,1,43232.0,Hambantota,Clean,0,1,0
19,1,0.0,Kandy,Clean,0,1,1
44,4,156738.0,Galle,Clean,0,1,0
44,1,275925.0,Anuradhapura,Clean,0,1,0
36,25,24029.0,Gampaha,Clean,0,0,1
52,0,0.0,Kurunegala,Clean,0,0,1
36,2,396341.0,Matale,Clean,0,0,0
40,3,13572.0,Kandy,Defaulted,1,0,1
46,2,6312.0,Gampaha,Clean,0,0,0
46,3,97722.0,Galle,Clean,1,1,0
43,0,4773.0,Moneragala,Clean,1,0,1
54,1,22256.0,Kandy,Clean,0,1,0
18,0,635606.0,Colombo,Defaulted,1,1,1
51,0,0.0,Colombo,Defaulted,0,1,0
55,0,339430.0,Galle,Defaulted,0,1,0
61,2,81359.0,Colombo,Clean,0,0,0
43,6,0.0,Kalutara,Clean,1,1,1
33,9,58777.0,Badulla,Clean,0,0,0
21,3,0.0,Kandy,Clean,0,0,0
39,11,12094.0,Matara,Clean,0,1,0
36,4,71066.0,Colombo,Clean,0,1,0
31,4,92794.0,Kurunegala,Clean,0,1,1
19,2,0.0,Gampaha,Clean,1,1,1
23,3,8833.0,Moneragala,Clean,0,0,0
32,7,68325.0,Colombo,Defaulted,1,1,1
37,1,0.0,Kurunegala,Clean,1,1,1
44,20,36666.0,Trincomalee,Defaulted,0,0,0
48,7,42255.0,Kurunegala,Clean,0,1,0
37,9,0.0,Kalutara,Clean,0,1,1
33,1,29404.0,Gampaha,Clean,0,0,0
34,1,28077.0,Galle,Clean,1,0,0
31,0,309136.0,Colombo,Defaulted,1,0,0
34,3,225340.0,Puttalam,Defaulted,0,1,0
49,8,29780.0,Matara,Clean,0,1,0
31,16,0.0,Jaffna,Clean,0,1,0
42,7,155238.0,Kurunegala,Clean,1,1,0
43,5,6316.0,Polonnaruwa,Clean,0,1,0
40,2,0.0,Ampara,Clean,0,1,1
30,8,5453.0,Kalutara,Clean,0,1,0
25,12,0.0,Jaffna,Clean,1,0,0
39,0,81268.0,Gampaha,Clean,0,1,0
33,7,139258.0,Kalutara,Clean,0,0,1
56,6,2699907.0,Nuwara Eliya,Clean,0,0,0
33,12,115555.0,Galle,Clean,0,0,0
38,5,35639.0,Gampaha,Clean,0,1,0
29,3,0.0,Kandy,Clean,0,0,1
39,3,59728.0,Kalutara,Defaulted,1,0,1
30,1,565037.0,Gampaha,Clean,0,1,0
54,6,272087.0,Colombo,Clean,0,0,0
19,10,918624.0,Gampaha,Defaulted,1,1,1
44,0,52055.0,Hambantota,Clean,0,1,0
18,4,0.0,Matara,Defaulted,1,0,1
27,1,0.0,Kandy,Clean,1,1,0
53,1,1028947.0,Puttalam,Clean,0,1,0
18,1,0.0,Colombo,Clean,0,1,0
35,4,1080050.0,Colombo,Defaulted,1,0,1
32,2,913.0,Gampaha,Defaulted,0,1,0
39,1,5990.0,Ratnapura,Clean,0,0,0
36,11,0.0,Colombo,Clean,1,0,1
42,3,53956.0,Puttalam,Clean,0,0,1
29,20,92288.0,Badulla,Clean,0,1,0
30,1,1381.0,Moneragala,Clean,0,0,0
44,2,60062.0,Jaffna,Clean,0,0,0
34,0,264404.0,Kandy,Clean,0,0,0
25,2,57169.0,Ratnapura,Clean,0,1,0
33,2,0.0,Ampara,Clean,0,0,0
24,0,24155.0,Matale,Clean,1,0,1
25,7,402760.0,Ratnapura,Clean,0,1,0
36,1,104998.0,Anuradhapura,Clean,0,1,1
35,0,20243.0,Kalutara,Clean,0,0,1
18,2,7459.0,Gampaha,Clean,1,0,1
21,0,785735.0,Gampaha,Clean,0,1,0
28,9,0.0,Ampara,Clean,1,0,1
41,3,32933.0,Kandy,Clean,1,1,1
35,2,95943.0,Moneragala,Clean,0,0,0
36,4,62685.0,Nuwara Eliya,Clean,0,1,1
39,2,0.0,Colombo,Clean,0,0,1
49,0,0.0,Moneragala,Clean,0,0,1
49,3,218890.0,Kandy,Defaulted,1,1,1
60,3,7399.0,Batticaloa,Clean,0,1,0
